dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/03/2020 22:08,VSLOSJHN48610065,Stocks,PSWL40,DPPS25,528854.63,USD,1550,03/02/2022,341.15,USD,1436.24
01/03/2020 03:20,WWETZDGB88527033,Stocks,PSWL40,DPPS25,641251.63,USD,1493,08/12/2021,429.39,USD,1764.79
01/03/2020 01:20,XFVGXOTI14242921,Stocks,PSWL40,DPPS25,208767.9,USD,296,15/10/2020,705.1,USD,211.53
01/03/2020 06:14,SGCHSLVO54832311,Stocks,PSWL40,DPPS25,573006,USD,709,13/03/2022,808.09,USD,2828.32
01/03/2020 23:19,KSLNXWQV32023925,Stocks,PSWL40,DPPS25,137276.75,USD,282,26/07/2020,486.52,USD,1522.81
01/03/2020 23:47,PQFBUBUQ61861031,Stocks,PSWL40,DPPS25,639492.54,USD,713,25/04/2022,896.62,USD,3712.01
01/03/2020 03:18,KTCRNOUD11321338,Stocks,PSWL40,DPPS25,606755,USD,3213,26/11/2021,188.79,USD,235.99
01/03/2020 21:34,POVRLTXM23045943,Stocks,PSWL40,DPPS25,577413.24,USD,1436,24/05/2022,401.96,USD,1941.47
01/03/2020 01:34,BPYITVBQ53621838,Stocks,PSWL40,DPPS25,350926.84,USD,612,12/04/2021,572.87,USD,2268.57
01/03/2020 23:52,QDRMZFRY91430959,Stocks,PSWL40,DPPS25,297013.74,USD,429,26/02/2021,692.18,USD,3135.58
01/03/2020 21:55,GDRYGUUC29604193,Stocks,PSWL40,DPPS25,254070.32,USD,329,10/02/2021,771.17,USD,2298.09
01/03/2020 10:11,MMVQHPDT68111099,Stocks,PSWL40,DPPS25,689467.5,USD,1641,16/09/2022,420.11,USD,210.06
01/03/2020 05:53,SOTSBBSD85654989,Stocks,PSWL40,DPPS25,595258.12,USD,711,12/06/2022,836.75,USD,3564.56
01/03/2020 23:42,ILCXQCWP67313222,Stocks,PSWL40,DPPS25,55424.1,USD,60,09/05/2020,919.84,USD,781.86
01/03/2020 23:25,NSQNZDGA86204437,Stocks,PSWL40,DPPS25,772828.89,USD,1562,31/08/2022,494.59,USD,786.4
01/03/2020 01:22,TUNSXTUE70730586,Stocks,PSWL40,DPPS25,407558.56,USD,1837,07/06/2021,221.8,USD,86.5
01/03/2020 22:42,IROBRNRU23511131,Stocks,PSWL40,DPPS25,700784.25,USD,763,25/03/2022,918.25,USD,615.23
01/03/2020 01:14,FHLGQYUS87589863,Stocks,PSWL40,DPPS25,228369.8,USD,424,02/01/2021,537.97,USD,602.53
01/03/2020 08:50,KJVVZEFE22386537,Stocks,PSWL40,DPPS25,99912.02,USD,1167,07/07/2020,85.59,USD,62.48
01/03/2020 10:34,KJUJNFCM69985130,Stocks,PSWL40,DPPS25,72402.32,USD,122,26/05/2020,591.18,USD,2553.9
01/03/2020 14:36,ZJEPQVRR99770017,Stocks,PSWL40,DPPS25,785435.74,USD,3827,12/07/2022,205.23,USD,69.78
01/03/2020 18:01,MEXOWMPQ45346963,Stocks,PSWL40,DPPS25,779544.11,USD,1329,26/06/2022,586.4,USD,545.35
01/03/2020 09:20,LGJAPNEH67897062,Stocks,PSWL40,DPPS25,474279.3,USD,731,14/12/2021,648.24,USD,356.53
01/03/2020 07:20,KZSTJTRT79770641,Stocks,PSWL40,DPPS25,90594.15,USD,410,03/06/2020,220.58,USD,266.9
01/03/2020 19:24,SVILCGFO81306753,Stocks,PSWL40,DPPS25,688276.99,USD,8518,01/04/2022,80.8,USD,57.37
01/03/2020 10:42,TJVAVBQP10205744,Stocks,PSWL40,DPPS25,124900,USD,393,30/07/2020,317.12,USD,523.25
01/03/2020 07:41,FYCANCWK67275238,Stocks,PSWL40,DPPS25,657375.37,USD,4317,20/05/2022,152.26,USD,263.41
01/03/2020 22:59,ACHKLYCS58266853,Stocks,PSWL40,DPPS25,250472.48,USD,976,28/01/2021,256.56,USD,1080.12
01/03/2020 14:11,RSIQMUCY13012786,Stocks,PSWL40,DPPS25,18447.35,USD,75,26/03/2020,244.12,USD,353.97
01/03/2020 16:59,QDGOUKZI69374479,Stocks,PSWL40,DPPS25,622695.15,USD,775,05/04/2022,802.58,USD,2528.13
01/03/2020 11:14,NSNYNSJS51600848,Stocks,PSWL40,DPPS25,814568.35,USD,1032,26/06/2022,788.97,USD,3274.23
01/03/2020 12:49,RWOIGYYL73945995,Stocks,PSWL40,DPPS25,222264.06,USD,419,16/12/2020,529.74,USD,2235.5
01/03/2020 01:05,MBQETVSO89057600,Stocks,PSWL40,DPPS25,411091.82,USD,1025,16/04/2021,400.7,USD,1518.65
01/03/2020 22:35,JAIAEVZD60953444,Stocks,PSWL40,DPPS25,456153.55,USD,1412,29/09/2021,322.94,USD,1340.2
01/03/2020 05:57,ZKQALWVO62896563,Stocks,PSWL40,DPPS25,508411.4,USD,3185,21/09/2021,159.61,USD,146.84
01/03/2020 15:43,HMQQJNCF62030437,Stocks,PSWL40,DPPS25,110874.06,USD,533,29/07/2020,207.68,USD,137.07
01/03/2020 17:44,XIBFVQFV85280368,Stocks,PSWL40,DPPS25,127421.08,USD,242,01/08/2020,525.68,USD,1871.42
01/03/2020 21:36,FXPDXXQS97781805,Stocks,PSWL40,DPPS25,598034.86,USD,1009,12/02/2022,592.31,USD,2612.09
01/03/2020 04:03,ZKMGRLFL82474047,Stocks,PSWL40,DPPS25,255819.59,USD,589,20/11/2020,433.65,USD,4.34
01/03/2020 20:18,UIHILWXM78521236,Stocks,PSWL40,DPPS25,831246.02,USD,3200,06/09/2022,259.71,USD,1033.65
01/03/2020 13:29,BKYHYZJN44279199,Stocks,PSWL40,DPPS25,315187.2,USD,532,15/02/2021,591.82,USD,497.13
01/03/2020 21:18,JGBSKKHQ53484444,Stocks,PSWL40,DPPS25,440489,USD,653,16/05/2021,674.19,USD,2878.79
01/03/2020 11:44,RKWPODAS58898018,Stocks,PSWL40,DPPS25,175171.47,USD,2557,11/10/2020,68.5,USD,102.07
01/03/2020 20:19,ECRDAAME54944843,Stocks,PSWL40,DPPS25,786115.73,USD,2596,06/09/2022,302.77,USD,396.63
01/03/2020 15:44,JLSXGCNL58056694,Stocks,PSWL40,DPPS25,955920.15,USD,7712,17/10/2022,123.95,USD,603.64
01/03/2020 02:25,JKNSQOUM73558391,Stocks,PSWL40,DPPS25,281891.2,USD,1095,18/03/2021,257.37,USD,823.58
01/03/2020 23:57,IZZJWWPH55939618,Stocks,PSWL40,DPPS25,293485,USD,702,21/01/2021,417.73,USD,71.01
01/03/2020 17:16,XLIBUHAP25803141,Stocks,PSWL40,DPPS25,139779.46,USD,1272,24/08/2020,109.85,USD,279.02
01/03/2020 14:24,ONSGLYLU11684059,Stocks,PSWL40,DPPS25,837880.4,USD,4353,27/09/2022,192.45,USD,875.65
01/03/2020 18:01,SGFZYMPD13332663,Stocks,PSWL40,DPPS25,740749.65,USD,907,22/05/2022,816.44,USD,367.4
01/03/2020 20:05,EIFUSROZ95900285,Stocks,PSWL40,DPPS25,419084.38,USD,733,01/06/2021,571.22,USD,2519.08
01/03/2020 11:47,RHQWFSAN82362377,Stocks,PSWL40,DPPS25,531648.5,USD,1742,26/09/2021,305.19,USD,91.56
01/03/2020 17:47,TNXWXMBV45361964,Stocks,PSWL40,DPPS25,352342.83,USD,718,08/05/2021,490.38,USD,485.48
01/03/2020 07:08,OLUASFDY51441960,Stocks,PSWL40,DPPS25,686858.66,USD,10648,13/10/2022,64.5,USD,130.94
01/03/2020 13:12,TTWQMBQN69009548,Stocks,PSWL40,DPPS25,604308.96,USD,8802,04/04/2022,68.65,USD,207.32
01/03/2020 22:04,ZVYANZKV20879439,Stocks,PSWL40,DPPS25,717171.05,USD,1315,06/07/2022,545.33,USD,2175.87
01/03/2020 13:25,OYTDMFRN71484920,Stocks,PSWL40,DPPS25,115449.62,USD,121,27/07/2020,952.82,USD,4487.78
01/03/2020 09:20,EPYOYVLV32073780,Stocks,PSWL40,DPPS25,342929.51,USD,16368,03/06/2021,20.95,USD,91.55
01/03/2020 13:26,WFDEQDKA45234936,Stocks,PSWL40,DPPS25,7854.04,USD,11,08/03/2020,706.86,USD,2601.24
01/03/2020 20:18,ZREMCCAY90639307,Stocks,PSWL40,DPPS25,650622.2,USD,823,02/02/2022,790.46,USD,2845.66
01/03/2020 07:01,RRCGRJOF47856966,Stocks,PSWL40,DPPS25,232346.95,USD,239,29/12/2020,971.2,USD,1291.7
01/03/2020 20:54,MMAEXNOZ71680196,Stocks,PSWL40,DPPS25,450381.62,USD,467,06/07/2021,963.37,USD,1522.12
01/03/2020 02:17,AVCBGEHN10789468,Stocks,PSWL40,DPPS25,460106.58,USD,881,12/06/2021,521.9,USD,1247.34
01/03/2020 12:41,OGOMNQXD17265421,Stocks,PSWL40,DPPS25,386967.38,USD,3604,07/08/2021,107.37,USD,121.33
01/03/2020 14:16,DAAYFVGK68059899,Stocks,PSWL40,DPPS25,526131.75,USD,832,20/03/2022,631.73,USD,789.66
01/03/2020 12:33,SCGAPKIN96089657,Stocks,PSWL40,DPPS25,180703.6,USD,354,22/09/2020,510.14,USD,2162.99
01/03/2020 04:28,EYMLGIBI47881964,Stocks,PSWL40,DPPS25,215262.09,USD,1280,09/12/2020,168.14,USD,791.94
01/03/2020 06:46,ZHIIFLJA49665085,Stocks,PSWL40,DPPS25,570514.37,USD,701,12/04/2022,813.82,USD,2254.28
01/03/2020 20:45,VXBYHSVA45141372,Stocks,PSWL40,DPPS25,130953.54,USD,232,22/08/2020,564.1,USD,2403.07
01/03/2020 00:52,RZUICMYM62010802,Stocks,PSWL40,DPPS25,354987,USD,3978,11/04/2021,89.22,USD,339.04
01/03/2020 17:04,ZGXWFDIU82827632,Stocks,PSWL40,DPPS25,37628.57,USD,110,10/04/2020,339.9,USD,309.31
01/03/2020 17:35,MVKYVVFE44684921,Stocks,PSWL40,DPPS25,659928.18,USD,980,17/06/2022,673.22,USD,1359.9
01/03/2020 00:59,WKIEXOYY45268680,Stocks,PSWL40,DPPS25,340885.4,USD,368,07/06/2021,925.13,USD,2053.79
01/03/2020 02:18,UVQDILDA92789446,Stocks,PSWL40,DPPS25,607745.85,USD,6871,28/02/2022,88.45,USD,305.15
01/03/2020 15:43,LSZMLPLK14521230,Stocks,PSWL40,DPPS25,24863.1,USD,42,01/04/2020,584.82,USD,1929.91
01/03/2020 00:13,ESLNNOFL82076762,Stocks,PSWL40,DPPS25,817421.56,USD,2926,30/05/2022,279.3,USD,1323.88
01/03/2020 01:35,VREILWLB33785045,Stocks,PSWL40,DPPS25,495454,USD,650,03/02/2022,761.84,USD,2666.44
01/03/2020 08:24,DUFFSAOG71961521,Stocks,PSWL40,DPPS25,491300.68,USD,9064,10/01/2022,54.2,USD,90.51
01/03/2020 15:51,FTSZNXBK92472315,Stocks,PSWL40,DPPS25,466081.6,USD,552,28/10/2021,843.82,USD,219.39
01/03/2020 05:33,FNPWWRPI83712299,Stocks,PSWL40,DPPS25,544538.72,USD,743,10/04/2022,732.4,USD,2578.05
01/03/2020 22:17,QPLSWTTC27208745,Stocks,PSWL40,DPPS25,265846.62,USD,532,02/02/2021,499.22,USD,2141.65
01/03/2020 10:54,UMZGOKOU39638898,Stocks,PSWL40,DPPS25,247765.4,USD,607,29/11/2020,407.56,USD,839.57
01/03/2020 16:11,FKWPILMX91111839,Stocks,PSWL40,DPPS25,368878.12,USD,1156,29/03/2021,318.95,USD,902.63
01/03/2020 17:02,JZANRITE65135147,Stocks,PSWL40,DPPS25,187035.18,USD,925,07/10/2020,202.11,USD,1004.49
01/03/2020 04:30,FJDLBTAB31131466,Stocks,PSWL40,DPPS25,337768.94,USD,581,16/04/2021,580.51,USD,1991.15
01/03/2020 08:48,YGABVWQI86071650,Stocks,PSWL40,DPPS25,177415.44,USD,630,14/09/2020,281.18,USD,860.41
01/03/2020 00:12,EFQBNNSB64901702,Stocks,PSWL40,DPPS25,341343.95,USD,417,17/02/2021,818.43,USD,695.67
01/03/2020 09:57,DDFUBTUY54501917,Stocks,PSWL40,DPPS25,37428.5,USD,37,07/04/2020,995.44,USD,4728.34
01/03/2020 03:20,DMOJBFNW75700731,Stocks,PSWL40,DPPS25,45934.89,USD,130,27/04/2020,350.81,USD,1147.15
01/03/2020 13:11,ENHEKMVP63849481,Stocks,PSWL40,DPPS25,619534.8,USD,2530,14/02/2022,244.84,USD,881.42
01/03/2020 09:27,YWABRXJM56913538,Stocks,PSWL40,DPPS25,967519.2,USD,1737,25/11/2022,557,USD,1130.71
01/03/2020 08:19,KIKRVLYQ83739255,Stocks,PSWL40,DPPS25,672621.8,USD,2202,10/10/2022,305.39,USD,488.62
01/03/2020 07:59,XBSEPJWM87412301,Stocks,PSWL40,DPPS25,444508.54,USD,3700,21/08/2021,120.13,USD,58.86
01/03/2020 17:58,SEDADQUX35136638,Stocks,PSWL40,DPPS25,556421,USD,629,20/02/2022,884.08,USD,937.12
01/03/2020 16:31,FFVSJQSH61990325,Stocks,PSWL40,DPPS25,194202.42,USD,388,21/10/2020,500.39,USD,1696.32
01/03/2020 16:10,JUMJLEHG49331709,Stocks,PSWL40,DPPS25,335313.63,USD,371,06/02/2021,901.6,USD,2317.11
01/03/2020 23:42,ZSDZFEEH48291979,Stocks,PSWL40,DPPS25,391304.35,USD,404,31/08/2021,967.48,USD,2118.78
01/03/2020 14:28,BSDEFRRG43078843,Stocks,PSWL40,DPPS25,467688.24,USD,1103,21/11/2021,423.97,USD,1984.18
01/03/2020 17:36,TMFQMBZH54364210,Stocks,PSWL40,DPPS25,447621.36,USD,609,24/07/2021,734.13,USD,704.76
01/03/2020 15:14,AJWCMRKQ75555648,Stocks,PSWL40,DPPS25,808895.62,USD,1257,21/10/2022,643.04,USD,1999.85
01/03/2020 22:52,UELMFTME11212196,Stocks,PSWL40,DPPS25,551859.64,USD,2163,19/09/2021,255.1,USD,885.2
01/03/2020 09:34,VKMACIJQ17077313,Stocks,PSWL40,DPPS25,69967.52,USD,82,04/06/2020,848.5,USD,3020.66
01/03/2020 11:43,KORKJTAD88676101,Stocks,PSWL40,DPPS25,367873.21,USD,37691,07/06/2021,9.76,USD,46.95
01/03/2020 11:30,CCAVZVBK61187413,Stocks,PSWL40,DPPS25,681774.74,USD,809,15/09/2022,842.07,USD,1633.62
01/03/2020 06:08,JTTJMYWR33067346,Stocks,PSWL40,DPPS25,477605.4,USD,46234,24/06/2021,10.33,USD,45.25
01/03/2020 21:55,IMTXRGUD99994195,Stocks,PSWL40,DPPS25,545329.24,USD,2125,11/01/2022,256.6,USD,1272.74
01/03/2020 23:09,QEMQHZCP32727485,Stocks,PSWL40,DPPS25,106306.66,USD,184,16/06/2020,575.68,USD,1479.5
01/03/2020 22:45,YXYWTAXP91739180,Stocks,PSWL40,DPPS25,862424,USD,4542,11/11/2022,189.84,USD,341.71
01/03/2020 22:54,DLJGJJZF65822844,Stocks,PSWL40,DPPS25,701905,USD,2321,26/04/2022,302.32,USD,1511.6
01/03/2020 10:32,FJSQOIUO41535297,Stocks,PSWL40,DPPS25,17516.98,USD,33,18/03/2020,516.62,USD,2200.8
01/03/2020 16:38,YFIXMAFD89992052,Stocks,PSWL40,DPPS25,180101.12,USD,283,14/09/2020,635.22,USD,736.86
